CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_19_ctg1,5000001,5050000,5025000,29953,6,19.5,Females
scaffold_19_ctg1,10450001,10500000,10475000,33144,6,19.1667,Females
scaffold_19_ctg1,2750001,2800000,2775000,33020,6.053843634,28,Females
scaffold_19_ctg1,4900001,4950000,4925000,14443,6.336543724,20.5,Females
scaffold_19_ctg1,10400001,10450000,10425000,34828,6.346778437,18.6667,Females
scaffold_19_ctg1,11050001,11100000,11075000,27442,6.360025576,19,Females
scaffold_19_ctg1,6450001,6500000,6475000,30352,6.381869974,58.6667,Females
scaffold_19_ctg1,10550001,10600000,10575000,32541,6.385203854,23,Females
scaffold_19_ctg1,6500001,6550000,6525000,31637,6.490900987,33.5,Females
scaffold_19_ctg1,10200001,10250000,10225000,38523,6.541506002,15.8333,Females
scaffold_19_ctg1,6400001,6450000,6425000,25293,6.549573728,36.1667,Females
scaffold_19_ctg1,6950001,7.00E+06,6975000,33321,6.78828367,64.8333,Females
scaffold_19_ctg1,10500001,10550000,10525000,32583,6.833859201,23,Females
scaffold_19_ctg1,4850001,4900000,4875000,21127,6.86165424,16,Females
scaffold_19_ctg1,2800001,2850000,2825000,30992,6.90638869,55,Females
scaffold_19_ctg1,11000001,11050000,11025000,34334,6.960212536,27.5,Females
scaffold_19_ctg1,8550001,8600000,8575000,28602,7.0464449,19,Females
scaffold_19_ctg1,10150001,10200000,10175000,34278,7.060710186,18.1667,Females
scaffold_19_ctg1,4750001,4800000,4775000,26490,7.221159535,20,Females
scaffold_19_ctg1,7350001,7400000,7375000,37171,7.31044634,32.3333,Females
scaffold_19_ctg1,6900001,6950000,6925000,25056,7.384559291,32.6667,Females
scaffold_19_ctg1,6550001,6600000,6575000,33700,7.447933745,35.3333,Females
scaffold_19_ctg1,1150001,1200000,1175000,25825,7.576379393,29,Females
scaffold_19_ctg1,4800001,4850000,4825000,29778,7.604738864,89.3333,Females
scaffold_19_ctg1,7000001,7050000,7025000,28016,7.648797755,79,Females
scaffold_19_ctg1,7600001,7650000,7625000,38513,7.681595942,17.3333,Females
scaffold_19_ctg1,450001,5.00E+05,475000,36480,7.949097274,20.1667,Females
scaffold_19_ctg1,6850001,6900000,6875000,28792,8.184363301,20.5,Females
scaffold_19_ctg1,10250001,10300000,10275000,36319,8.281626757,39,Females
scaffold_19_ctg1,10600001,10650000,10625000,31559,8.320762333,61.3333,Females
scaffold_19_ctg1,6350001,6400000,6375000,28251,8.386050791,20.1667,Females
scaffold_19_ctg1,1000001,1050000,1025000,35996,8.438134916,26.5,Females
scaffold_19_ctg1,6050001,6100000,6075000,31826,8.438913122,18,Females
scaffold_19_ctg1,6750001,6800000,6775000,29480,8.495297478,30.1667,Females
scaffold_19_ctg1,2850001,2900000,2875000,37351,8.506791927,21.1667,Females
scaffold_19_ctg1,750001,8.00E+05,775000,38073,8.520462044,29.8333,Females
scaffold_19_ctg1,10350001,10400000,10375000,37938,8.568010162,20.3333,Females
