CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_19_ctg1,1,50000,25000,28694,19.6008241,38.7692,Females
scaffold_19_ctg1,50001,1.00E+05,75000,34481,19.91221382,31.2308,Females
scaffold_19_ctg1,100001,150000,125000,38447,20.02610407,27.2308,Females
scaffold_19_ctg1,150001,2.00E+05,175000,37849,19.58127472,25.6154,Females
scaffold_19_ctg1,200001,250000,225000,38113,19.3127772,26.5385,Females
scaffold_19_ctg1,250001,3.00E+05,275000,33016,19.24571651,35,Females
scaffold_19_ctg1,300001,350000,325000,38007,19.74159749,28.6154,Females
scaffold_19_ctg1,350001,4.00E+05,375000,32049,18.82456674,24.4615,Females
scaffold_19_ctg1,400001,450000,425000,36222,19.20635988,26.9231,Females
scaffold_19_ctg1,450001,5.00E+05,475000,36480,19.41132953,27.1538,Females
scaffold_19_ctg1,500001,550000,525000,39829,19.31411996,26.9231,Females
scaffold_19_ctg1,550001,6.00E+05,575000,36623,19.41167773,28.3846,Females
scaffold_19_ctg1,600001,650000,625000,41334,20.24634067,27,Females
scaffold_19_ctg1,650001,7.00E+05,675000,38662,19.88236717,28.5385,Females
scaffold_19_ctg1,700001,750000,725000,31719,18.87251218,35.8462,Females
scaffold_19_ctg1,750001,8.00E+05,775000,38073,19.15188662,28.2308,Females
scaffold_19_ctg1,800001,850000,825000,35097,19.3852388,30.6154,Females
scaffold_19_ctg1,850001,9.00E+05,875000,36088,19.2517673,27.1538,Females
scaffold_19_ctg1,900001,950000,925000,37197,19.45602562,32.5385,Females
scaffold_19_ctg1,950001,1.00E+06,975000,38243,19.68487795,30.2308,Females
scaffold_19_ctg1,1000001,1050000,1025000,35996,19.41999066,26.6154,Females
scaffold_19_ctg1,1050001,1100000,1075000,33832,18.67901011,35.3077,Females
scaffold_19_ctg1,1100001,1150000,1125000,38462,19.11269641,26.4615,Females
scaffold_19_ctg1,1150001,1200000,1175000,25825,18.79492494,27.2308,Females
scaffold_19_ctg1,1200001,1250000,1225000,36792,20.23635532,26.8462,Females
scaffold_19_ctg1,1250001,1300000,1275000,37085,19.44323705,25.8462,Females
scaffold_19_ctg1,1300001,1350000,1325000,39444,19.28043339,41.1538,Females
scaffold_19_ctg1,1350001,1400000,1375000,42163,19.87467796,25.8462,Females
scaffold_19_ctg1,1400001,1450000,1425000,35397,18.97562997,28.6154,Females
scaffold_19_ctg1,1450001,1500000,1475000,36745,18.96654422,25.9231,Females
scaffold_19_ctg1,1500001,1550000,1525000,34182,18.37865443,30.9231,Females
scaffold_19_ctg1,1550001,1600000,1575000,37854,19.40252384,26.6923,Females
scaffold_19_ctg1,1600001,1650000,1625000,33079,19.13896337,27.2308,Females
scaffold_19_ctg1,1650001,1700000,1675000,36126,18.29973078,28.7692,Females
scaffold_19_ctg1,1700001,1750000,1725000,35217,19.19807048,31,Females
scaffold_19_ctg1,1750001,1800000,1775000,37285,19.22159204,27.8462,Females
