CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_19_ctg1,5150001,5200000,5175000,36703,21,51.5,Females
scaffold_19_ctg1,12550001,12600000,12575000,37488,21,36,Females
scaffold_19_ctg1,3400001,3450000,3425000,33983,17.71865671,33,Females
scaffold_19_ctg1,7850001,7900000,7875000,36825,17.69767278,27.8,Females
scaffold_19_ctg1,3600001,3650000,3625000,40842,17.58590002,58.4,Females
scaffold_19_ctg1,11300001,11350000,11325000,37649,17.51632663,44.3,Females
scaffold_19_ctg1,7850001,7900000,7875000,36825,17.46426824,29.7,Males
scaffold_19_ctg1,1350001,1400000,1375000,42163,17.46246129,26.8,Females
scaffold_19_ctg1,5650001,5700000,5675000,37632,17.38040911,29.3,Females
scaffold_19_ctg1,8000001,8050000,8025000,42580,17.3642396,27,Males
scaffold_19_ctg1,7100001,7150000,7125000,37373,17.32066168,30.4,Females
scaffold_19_ctg1,9250001,9300000,9275000,37140,17.31563663,30.2,Females
scaffold_19_ctg1,7900001,7950000,7925000,38744,17.2880836,26.4,Females
scaffold_19_ctg1,10150001,10200000,10175000,34278,17.26416742,54.4,Females
scaffold_19_ctg1,8100001,8150000,8125000,40483,17.22010913,25.6,Males
scaffold_19_ctg1,3550001,3600000,3575000,34413,17.19439247,62.4,Females
scaffold_19_ctg1,8000001,8050000,8025000,42580,17.18165245,26.3,Females
scaffold_19_ctg1,3600001,3650000,3625000,40842,17.17325486,50.6,Males
scaffold_19_ctg1,3400001,3450000,3425000,33983,17.11099675,30.9,Males
scaffold_19_ctg1,8100001,8150000,8125000,40483,17.10675333,25.1,Females
scaffold_19_ctg1,4550001,4600000,4575000,38994,17.07340417,31.2,Males
scaffold_19_ctg1,1050001,1100000,1075000,33832,17.06579614,82.2,Females
scaffold_19_ctg1,1200001,1250000,1225000,36792,17.06259483,32.2,Males
scaffold_19_ctg1,5750001,5800000,5775000,40042,17.03543029,29.3,Females
scaffold_19_ctg1,12500001,12550000,12525000,37440,17.00418015,40.4,Females
scaffold_19_ctg1,9400001,9450000,9425000,35753,16.99415034,33.5,Females
scaffold_19_ctg1,800001,850000,825000,35097,16.99168747,35.4,Females
scaffold_19_ctg1,4550001,4600000,4575000,38994,16.93589736,32.8,Females
scaffold_19_ctg1,7800001,7850000,7825000,39843,16.92675683,28.3,Males
scaffold_19_ctg1,9450001,9500000,9475000,39668,16.92160626,26.4,Females
scaffold_19_ctg1,8050001,8100000,8075000,40627,16.91925273,30.8,Males
scaffold_19_ctg1,9250001,9300000,9275000,37140,16.9183395,30.4,Males
scaffold_19_ctg1,8050001,8100000,8075000,40627,16.91542967,28.4,Females
scaffold_19_ctg1,5600001,5650000,5625000,37530,16.91311129,25.2,Males
scaffold_19_ctg1,12700001,12750000,12725000,35382,16.90800236,46.6,Females
scaffold_19_ctg1,11700001,11750000,11725000,35137,16.86894856,43.7,Females
