Chrom,start,end,mid,sites,pi_H.sara,pi_H.leucadia,dxy_H.sara_H.leucadia,Fst_H.sara_H.leucadia
Chrom1,1,50001,25000.5,39630,0.006,0.003,0.0201,0.1698
Chrom1,50002,1.00E+05,5.00E+04,38640,0.0091,0.0049,0.0247,0.1336
Chrom1,100003,1.50E+05,7.50E+04,34957,0.0118,0.0044,0.0237,0.0957
Chrom1,150004,2.00E+05,1.00E+05,36244,0.0139,0.0052,0.0254,0.083
Chrom1,200005,2.50E+05,1.25E+05,36733,0.0155,0.0097,0.0233,0.0513
Chrom1,250006,3.00E+05,1.50E+05,39320,0.0132,0.0056,0.0211,0.0652
Chrom1,300007,3.50E+05,1.75E+05,37583,0.0123,0.0073,0.0284,0.1066
Chrom1,350008,4.00E+05,2.00E+05,28401,0.0103,0.0058,0.0189,0.0775
Chrom1,400009,4.50E+05,2.25E+05,39774,0.0099,0.0065,0.0188,0.0777
Chrom1,450010,5.00E+05,2.50E+05,38199,0.0114,0.0061,0.0223,0.0861
Chrom1,500011,5.50E+05,2.75E+05,35511,0.0136,0.0054,0.0216,0.0664
Chrom1,550012,6.00E+05,3.00E+05,35593,0.0127,0.0071,0.0172,0.0436
Chrom1,600013,6.50E+05,3.25E+05,35213,0.0115,0.0061,0.0219,0.083
Chrom1,650014,7.00E+05,3.50E+05,32389,0.0111,0.0054,0.0258,0.1113
Chrom1,700015,7.50E+05,3.75E+05,38739,0.0109,0.0054,0.018,0.0668
Chrom1,750016,8.00E+05,4.00E+05,37546,0.0131,0.005,0.0197,0.0607
Chrom1,800017,8.50E+05,4.25E+05,37575,0.013,0.0067,0.0202,0.059
Chrom1,850018,9.00E+05,4.50E+05,39896,0.0114,0.0078,0.0205,0.0693
Chrom1,900019,9.50E+05,4.75E+05,39389,0.0125,0.0068,0.0194,0.0583
Chrom1,950020,1.00E+06,5.00E+05,35921,0.0127,0.0087,0.0205,0.0578
Chrom1,1000021,1.05E+06,5.25E+05,39325,0.0147,0.0067,0.0237,0.0656
Chrom1,1050022,1.10E+06,5.50E+05,36578,0.0152,0.007,0.0238,0.0621
Chrom1,1100023,1.15E+06,5.75E+05,36835,0.0156,0.0082,0.0221,0.0495
Chrom1,1150024,1.20E+06,6.00E+05,36463,0.0145,0.0071,0.0228,0.0615
Chrom1,1200025,1.25E+06,6.25E+05,39029,0.0109,0.0045,0.0193,0.0784
Chrom1,1250026,1.30E+06,6.50E+05,39010,0.0151,0.0057,0.0217,0.0563
Chrom1,1300027,1.35E+06,6.75E+05,37123,0.018,0.0056,0.024,0.0514
Chrom1,1350028,1.40E+06,7.00E+05,31909,0.014,0.005,0.0231,0.0722
Chrom1,1400029,1.45E+06,7.25E+05,38299,0.0133,0.0045,0.021,0.0672
Chrom1,1450030,1.50E+06,7.50E+05,38220,0.0157,0.0053,0.0229,0.0592
Chrom1,1500031,1.55E+06,7.75E+05,31321,0.016,0.0065,0.0219,0.0503
Chrom1,1550032,1.60E+06,8.00E+05,38039,0.0139,0.0084,0.0205,0.0503
Chrom1,1600033,1.65E+06,8.25E+05,35219,0.0151,0.0053,0.019,0.0445
Chrom1,1650034,1.70E+06,8.50E+05,32667,0.013,0.0056,0.0224,0.0739
Chrom1,1700035,1.75E+06,8.75E+05,40133,0.0142,0.0033,0.022,0.0699
Chrom1,1750036,1.80E+06,9.00E+05,38548,0.0164,0.0067,0.0246,0.0596
Chrom1,1800037,1.85E+06,9.25E+05,40173,0.013,0.0057,0.0179,0.0496
Chrom1,1850038,1.90E+06,9.50E+05,40016,0.0136,0.0044,0.022,0.071
Chrom1,1900039,1.95E+06,9.75E+05,40868,0.0134,0.0052,0.0181,0.0499
Chrom1,1950040,2.00E+06,1.00E+06,40572,0.0123,0.0054,0.0198,0.0664
Chrom1,2000041,2.05E+06,1.03E+06,40662,0.0111,0.0039,0.0179,0.0696
Chrom1,2050042,2.10E+06,1.05E+06,34672,0.0115,0.005,0.0211,0.0812
Chrom1,2100043,2.15E+06,1.08E+06,38837,0.015,0.0051,0.0217,0.0584
Chrom1,2150044,2.20E+06,1.10E+06,35614,0.0183,0.0061,0.0267,0.0595
Chrom1,2200045,2.25E+06,1.13E+06,35954,0.0181,0.0058,0.0278,0.065
Chrom1,2250046,2.30E+06,1.15E+06,35194,0.0198,0.0079,0.0264,0.0481
Chrom1,2300047,2.35E+06,1.18E+06,34263,0.0182,0.0097,0.0254,0.0474
Chrom1,2350048,2.40E+06,1.20E+06,37013,0.0183,0.0086,0.0237,0.0427
Chrom1,2400049,2.45E+06,1.23E+06,37134,0.0187,0.0072,0.0245,0.0467
Chrom1,2450050,2.50E+06,1.25E+06,37474,0.0159,0.0085,0.0194,0.0348
Chrom1,2500051,2.55E+06,1.28E+06,40486,0.0097,0.0041,0.0148,0.0607
Chrom1,2550052,2.60E+06,1.30E+06,34245,0.0124,0.0063,0.0197,0.062
Chrom1,2600053,2.65E+06,1.33E+06,40676,0.0126,0.006,0.0195,0.0603
Chrom1,2650054,2.70E+06,1.35E+06,39536,0.0163,0.0053,0.0233,0.0573
Chrom1,2700055,2.75E+06,1.38E+06,37118,0.0154,0.0089,0.0191,0.0343
Chrom1,2750056,2.80E+06,1.40E+06,39189,0.0161,0.0067,0.0208,0.0442
Chrom1,2800057,2.85E+06,1.43E+06,37790,0.0176,0.0042,0.0223,0.0493
Chrom1,2850058,2.90E+06,1.45E+06,32689,0.0198,0.0106,0.0273,0.046
Chrom1,2900059,2.95E+06,1.48E+06,34490,0.0206,0.0086,0.0262,0.0428
Chrom1,2950060,3.00E+06,1.50E+06,35040,0.0226,0.0105,0.0266,0.0343
Chrom1,3000061,3.05E+06,1.53E+06,36439,0.0188,0.0071,0.0238,0.0438
Chrom1,3050062,3.10E+06,1.55E+06,36977,0.0183,0.0086,0.0235,0.0418
Chrom1,3100063,3.15E+06,1.58E+06,36574,0.0191,0.0074,0.0261,0.0509
Chrom1,3150064,3.20E+06,1.60E+06,37220,0.0207,0.007,0.0244,0.0391
Chrom1,3200065,3.25E+06,1.63E+06,37735,0.0186,0.0078,0.0239,0.044
Chrom1,3250066,3.30E+06,1.65E+06,30336,0.0198,0.0067,0.0235,0.0398
Chrom1,3300067,3.35E+06,1.68E+06,35562,0.0182,0.0079,0.0254,0.051
Chrom1,3350068,3.40E+06,1.70E+06,38046,0.0189,0.0074,0.0245,0.0453
Chrom1,3400069,3.45E+06,1.73E+06,36248,0.0194,0.0076,0.0236,0.0397
Chrom1,3450070,3.50E+06,1.75E+06,37544,0.0179,0.0067,0.022,0.041
Chrom1,3500071,3.55E+06,1.78E+06,31636,0.0192,0.0069,0.0245,0.0454
Chrom1,3550072,3.60E+06,1.80E+06,33482,0.0214,0.0083,0.0265,0.0414
Chrom1,3600073,3.65E+06,1.83E+06,38023,0.0208,0.0078,0.026,0.0428
Chrom1,3650074,3.70E+06,1.85E+06,36614,0.0176,0.007,0.0217,0.0405
Chrom1,3700075,3.75E+06,1.88E+06,36491,0.018,0.0077,0.0236,0.0454
Chrom1,3750076,3.80E+06,1.90E+06,30937,0.0179,0.0063,0.0241,0.0509
Chrom1,3800077,3.85E+06,1.93E+06,39605,0.0158,0.0051,0.0198,0.0451
Chrom1,3850078,3.90E+06,1.95E+06,39044,0.0151,0.0059,0.0178,0.0368
Chrom1,3900079,3.95E+06,1.98E+06,34765,0.0177,0.0072,0.0238,0.0487
Chrom1,3950080,4.00E+06,2.00E+06,36255,0.0186,0.0075,0.023,0.0409
Chrom1,4000081,4.05E+06,2.03E+06,35720,0.0195,0.0099,0.023,0.0328
Chrom1,4050082,4.10E+06,2.05E+06,35075,0.0157,0.0084,0.0203,0.04
Chrom1,4100083,4.15E+06,2.08E+06,33944,0.0189,0.0077,0.0228,0.0383
Chrom1,4150084,4.20E+06,2.10E+06,34847,0.0197,0.0096,0.0256,0.0422
Chrom1,4200085,4.25E+06,2.13E+06,33661,0.02,0.0112,0.0247,0.0347
Chrom1,4250086,4.30E+06,2.15E+06,30263,0.0202,0.0107,0.026,0.0396
Chrom1,4300087,4.35E+06,2.18E+06,35496,0.0209,0.0081,0.0253,0.0396
Chrom1,4350088,4.40E+06,2.20E+06,32549,0.0206,0.0095,0.0253,0.0378
Chrom1,4400089,4.45E+06,2.23E+06,34583,0.0209,0.0068,0.0254,0.0421
Chrom1,4450090,4.50E+06,2.25E+06,30823,0.0203,0.008,0.0247,0.0396
Chrom1,4500091,4.55E+06,2.28E+06,31622,0.0193,0.0079,0.024,0.0414
Chrom1,4550092,4.60E+06,2.30E+06,32666,0.0214,0.0089,0.026,0.0386
Chrom1,4600093,4.65E+06,2.33E+06,27169,0.0204,0.0114,0.0252,0.0345
Chrom1,4650094,4.70E+06,2.35E+06,32359,0.0237,0.0091,0.0283,0.0385
Chrom1,4700095,4.75E+06,2.38E+06,30867,0.0234,0.0074,0.0286,0.043
Chrom1,4750096,4.80E+06,2.40E+06,27527,0.0231,0.0073,0.0309,0.0513
Chrom1,4800097,4.85E+06,2.43E+06,29580,0.0222,0.0083,0.0298,0.0494
Chrom1,4850098,4.90E+06,2.45E+06,34010,0.0211,0.0086,0.0244,0.0347
Chrom1,4900099,4.95E+06,2.48E+06,38823,0.021,0.0061,0.0256,0.0437
Chrom1,4950100,5.00E+06,2.50E+06,35915,0.014,0.0081,0.0195,0.0456
Chrom1,5000101,5.05E+06,2.53E+06,39640,0.0147,0.0035,0.0208,0.0598
Chrom1,5050102,5.10E+06,2.55E+06,38493,0.0157,0.0054,0.0213,0.0519
Chrom1,5100103,5.15E+06,2.58E+06,39257,0.0113,0.0058,0.0211,0.081
Chrom1,5150104,5.20E+06,2.60E+06,38552,0.0162,0.0066,0.0226,0.0519
Chrom1,5200105,5.25E+06,2.63E+06,35133,0.0174,0.0056,0.0253,0.0592
Chrom1,5250106,5.30E+06,2.65E+06,34501,0.0195,0.007,0.0235,0.0402
Chrom1,5300107,5.35E+06,2.68E+06,38902,0.0154,0.0083,0.0206,0.0433
Chrom1,5350108,5.40E+06,2.70E+06,38945,0.0165,0.0047,0.0206,0.0461
Chrom1,5400109,5.45E+06,2.73E+06,37294,0.0179,0.0074,0.024,0.0476
Chrom1,5450110,5.50E+06,2.75E+06,36700,0.0186,0.0069,0.0242,0.0469
Chrom1,5500111,5.55E+06,2.78E+06,37943,0.0197,0.0086,0.0235,0.0361
Chrom1,5550112,5.60E+06,2.80E+06,35310,0.015,0.0046,0.0198,0.0506
Chrom1,5600113,5.65E+06,2.83E+06,31618,0.0157,0.0033,0.0228,0.0638
Chrom1,5650114,5.70E+06,2.85E+06,32313,0.0149,0.0025,0.0216,0.0647
Chrom1,5700115,5.75E+06,2.88E+06,32734,0.0127,0.0021,0.0223,0.0859
Chrom1,5750116,5.80E+06,2.90E+06,36059,0.0154,0.0041,0.0246,0.072
Chrom1,5800117,5.85E+06,2.93E+06,34189,0.0161,0.0045,0.0236,0.062
Chrom1,5850118,5.90E+06,2.95E+06,37057,0.0172,0.0053,0.0241,0.0561
Chrom1,5900119,5.95E+06,2.98E+06,38498,0.0159,0.0057,0.0237,0.0606
Chrom1,5950120,6.00E+06,3.00E+06,38340,0.015,0.005,0.0215,0.0576
Chrom1,6000121,6.05E+06,3.03E+06,38650,0.0164,0.0038,0.0223,0.0561
Chrom1,6050122,6.10E+06,3.05E+06,38220,0.016,0.0056,0.0202,0.0451
Chrom1,6100123,6.15E+06,3.08E+06,32313,0.0169,0.006,0.025,0.0603
Chrom1,6150124,6.20E+06,3.10E+06,37136,0.0174,0.0051,0.0242,0.0559
Chrom1,6200125,6.25E+06,3.13E+06,39328,0.0175,0.0061,0.0277,0.0676
Chrom1,6250126,6.30E+06,3.15E+06,35131,0.0166,0.0072,0.0219,0.0457
Chrom1,6300127,6.35E+06,3.18E+06,37963,0.0152,0.0062,0.0267,0.0769
Chrom1,6350128,6.40E+06,3.20E+06,39074,0.0098,0.0045,0.0196,0.0913
Chrom1,6400129,6.45E+06,3.23E+06,37576,0.0164,0.0054,0.0242,0.0606
Chrom1,6450130,6.50E+06,3.25E+06,33999,0.0161,0.0055,0.0215,0.0502
Chrom1,6500131,6.55E+06,3.28E+06,40759,0.011,0.0045,0.0164,0.0582
Chrom1,6550132,6.60E+06,3.30E+06,36883,0.0174,0.0049,0.0259,0.0636
Chrom1,6600133,6.65E+06,3.33E+06,38194,0.0164,0.0068,0.0213,0.0451
Chrom1,6650134,6.70E+06,3.35E+06,39876,0.0166,0.006,0.0215,0.0466
Chrom1,6700135,6.75E+06,3.38E+06,33322,0.0185,0.0067,0.0237,0.0455
Chrom1,6750136,6.80E+06,3.40E+06,37351,0.0164,0.01,0.0237,0.0479
Chrom1,6800137,6.85E+06,3.43E+06,34901,0.0194,0.0065,0.0253,0.0484
Chrom1,6850138,6.90E+06,3.45E+06,31380,0.0187,0.0066,0.0237,0.0449
Chrom1,6900139,6.95E+06,3.48E+06,36664,0.0177,0.0057,0.0207,0.0393
Chrom1,6950140,7.00E+06,3.50E+06,35906,0.0191,0.0063,0.0259,0.0525
Chrom1,7000141,7.05E+06,3.53E+06,33912,0.0164,0.0057,0.0216,0.0487
Chrom1,7050142,7.10E+06,3.55E+06,32477,0.0089,0.0068,0.0201,0.0972
Chrom1,7100143,7.15E+06,3.58E+06,33042,0.0144,0.0048,0.0213,0.0607
Chrom1,7150144,7.20E+06,3.60E+06,36156,0.016,0.0064,0.0224,0.0522
Chrom1,7200145,7.25E+06,3.63E+06,35835,0.0175,0.0069,0.023,0.0471
Chrom1,7250146,7.30E+06,3.65E+06,39295,0.0184,0.0057,0.0207,0.0361
Chrom1,7300147,7.35E+06,3.68E+06,38034,0.0165,0.0045,0.0216,0.0507
Chrom1,7350148,7.40E+06,3.70E+06,37948,0.0174,0.0074,0.0252,0.0549
Chrom1,7400149,7.45E+06,3.73E+06,33108,0.0188,0.0064,0.0246,0.0485
Chrom1,7450150,7.50E+06,3.75E+06,39659,0.0165,0.0044,0.0246,0.0645
Chrom1,7500151,7.55E+06,3.78E+06,31896,0.019,0.0073,0.0293,0.0631
Chrom1,7550152,7.60E+06,3.80E+06,34006,0.0195,0.0056,0.0247,0.0473
Chrom1,7600153,7.65E+06,3.83E+06,35661,0.0175,0.0052,0.0235,0.0527
Chrom1,7650154,7.70E+06,3.85E+06,33972,0.0171,0.0067,0.0227,0.0479
Chrom1,7700155,7.75E+06,3.88E+06,34193,0.0113,0.0041,0.0192,0.0752
Chrom1,7750156,7.80E+06,3.90E+06,37210,0.0179,0.0059,0.0249,0.0546
Chrom1,7800157,7.85E+06,3.93E+06,35121,0.0158,0.0065,0.0234,0.058
Chrom1,7850158,7.90E+06,3.95E+06,35514,0.0189,0.0072,0.0248,0.0472
Chrom1,7900159,7.95E+06,3.98E+06,38571,0.0161,0.0062,0.0216,0.0487
Chrom1,7950160,8.00E+06,4.00E+06,36326,0.0155,0.007,0.0211,0.0481
Chrom1,8000161,8.05E+06,4.03E+06,31649,0.0152,0.0055,0.0229,0.0618
Chrom1,8050162,8.10E+06,4.05E+06,32377,0.0152,0.0042,0.0242,0.0709
Chrom1,8100163,8.15E+06,4.08E+06,38451,0.0102,0.0036,0.0174,0.0756
Chrom1,8150164,8.20E+06,4.10E+06,36908,0.0154,0.0046,0.0199,0.0485
Chrom1,8200165,8.25E+06,4.13E+06,33397,0.0155,0.0055,0.0194,0.0434
Chrom1,8250166,8.30E+06,4.15E+06,39207,0.0123,0.0047,0.02,0.0692
Chrom1,8300167,8.35E+06,4.18E+06,31894,0.0162,0.0068,0.0211,0.0447
Chrom1,8350168,8.40E+06,4.20E+06,37193,0.0189,0.0062,0.0231,0.0425
Chrom1,8400169,8.45E+06,4.23E+06,40232,0.0157,0.0068,0.0223,0.0533
Chrom1,8450170,8.50E+06,4.25E+06,40471,0.0149,0.0054,0.0192,0.0464
Chrom1,8500171,8.55E+06,4.28E+06,29620,0.0118,0.0052,0.0177,0.0588
Chrom1,8550172,8.60E+06,4.30E+06,37185,0.0165,0.0054,0.0212,0.0474
Chrom1,8600173,8.65E+06,4.33E+06,37267,0.0194,0.007,0.025,0.0462
Chrom1,8650174,8.70E+06,4.35E+06,33850,0.0204,0.009,0.025,0.0385
Chrom1,8700175,8.75E+06,4.38E+06,38531,0.0179,0.0077,0.024,0.047
Chrom1,8750176,8.80E+06,4.40E+06,36520,0.0197,0.0073,0.0278,0.0548
Chrom1,8800177,8.85E+06,4.43E+06,37380,0.0193,0.0091,0.0246,0.041
Chrom1,8850178,8.90E+06,4.45E+06,37914,0.0188,0.0064,0.023,0.0424
Chrom1,8900179,8.95E+06,4.48E+06,35519,0.0174,0.0054,0.0211,0.0428
Chrom1,8950180,9.00E+06,4.50E+06,38156,0.0159,0.0033,0.0202,0.0506
Chrom1,9000181,9.05E+06,4.53E+06,40485,0.0157,0.0039,0.0206,0.0524
Chrom1,9050182,9.10E+06,4.55E+06,34310,0.0148,0.0045,0.0195,0.0506
Chrom1,9100183,9.15E+06,4.58E+06,38128,0.0132,0.0068,0.0176,0.0437
Chrom1,9150184,9.20E+06,4.60E+06,39211,0.0137,0.0039,0.0173,0.047
Chrom1,9200185,9.25E+06,4.63E+06,38633,0.0125,0.0046,0.0166,0.0486
