CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_18_ctg1,1,50000,25000,37751,13.7289402,32.1429,Females
scaffold_18_ctg1,50001,1.00E+05,75000,35491,13.3054868,26.2857,Females
scaffold_18_ctg1,100001,150000,125000,39436,14.26742406,43,Females
scaffold_18_ctg1,150001,2.00E+05,175000,39891,13.42797187,23.7143,Females
scaffold_18_ctg1,200001,250000,225000,36465,13.63594722,28.1429,Females
scaffold_18_ctg1,250001,3.00E+05,275000,39529,14.15821798,36,Females
scaffold_18_ctg1,300001,350000,325000,34349,12.64279332,23,Females
scaffold_18_ctg1,350001,4.00E+05,375000,37317,18.53372467,30.4286,Females
scaffold_18_ctg1,400001,450000,425000,39059,20.87412571,58.2857,Females
scaffold_18_ctg1,450001,5.00E+05,475000,37143,15.8761026,45.7143,Females
scaffold_18_ctg1,500001,550000,525000,37873,13.54547155,23.2857,Females
scaffold_18_ctg1,550001,6.00E+05,575000,38714,13.44851498,23.1429,Females
scaffold_18_ctg1,600001,650000,625000,35238,13.73899259,22.5714,Females
scaffold_18_ctg1,650001,7.00E+05,675000,35025,14.14342375,23.7143,Females
scaffold_18_ctg1,700001,750000,725000,38432,15.13853735,29.5714,Females
scaffold_18_ctg1,750001,8.00E+05,775000,38695,13.55237551,26.1429,Females
scaffold_18_ctg1,800001,850000,825000,37203,12.46170488,21.2857,Females
scaffold_18_ctg1,850001,9.00E+05,875000,33781,12.62149621,26.4286,Females
scaffold_18_ctg1,900001,950000,925000,31971,10.30445836,23.5714,Females
scaffold_18_ctg1,950001,1.00E+06,975000,36878,13.80779505,23.8571,Females
scaffold_18_ctg1,1000001,1050000,1025000,33785,13.59191877,29.4286,Females
scaffold_18_ctg1,1050001,1100000,1075000,38050,13.18635216,26.8571,Females
scaffold_18_ctg1,1100001,1150000,1125000,37244,13.0213801,24.1429,Females
scaffold_18_ctg1,1150001,1200000,1175000,35700,13.72905787,23.4286,Females
scaffold_18_ctg1,1200001,1250000,1225000,34581,12.6351128,47.8571,Females
