CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_15_ctg1,1,50000,25000,26206,17.92348249,30.9231,Females
scaffold_15_ctg1,50001,1.00E+05,75000,25515,19.16771736,40.7692,Females
scaffold_15_ctg1,100001,150000,125000,34852,19.33308389,30,Females
scaffold_15_ctg1,150001,2.00E+05,175000,33955,18.39664928,30.9231,Females
scaffold_15_ctg1,200001,250000,225000,24093,16.66741775,33.6923,Females
scaffold_15_ctg1,250001,3.00E+05,275000,32820,18.75093094,31.3846,Females
scaffold_15_ctg1,300001,350000,325000,36057,18.79474097,28.0769,Females
scaffold_15_ctg1,350001,4.00E+05,375000,37153,19.33952244,27.9231,Females
scaffold_15_ctg1,400001,450000,425000,37017,19.48957742,26.2308,Females
scaffold_15_ctg1,450001,5.00E+05,475000,40293,20.02441154,30.3077,Females
scaffold_15_ctg1,500001,550000,525000,38244,19.2602339,27.0769,Females
scaffold_15_ctg1,550001,6.00E+05,575000,35478,18.72074077,27.7692,Females
scaffold_15_ctg1,600001,650000,625000,35198,19.32248096,30.4615,Females
scaffold_15_ctg1,650001,7.00E+05,675000,32557,19.63269353,28.9231,Females
scaffold_15_ctg1,700001,750000,725000,33123,18.18174095,25.4615,Females
scaffold_15_ctg1,750001,8.00E+05,775000,33287,19.01183071,109.769,Females
scaffold_15_ctg1,800001,850000,825000,31772,19.24250176,28.3846,Females
scaffold_15_ctg1,850001,9.00E+05,875000,39216,19.93365349,26,Females
scaffold_15_ctg1,900001,950000,925000,37879,20.08488766,27.9231,Females
scaffold_15_ctg1,950001,1.00E+06,975000,37836,19.0303944,26.4615,Females
scaffold_15_ctg1,1000001,1050000,1025000,37341,18.62546035,28.6154,Females
scaffold_15_ctg1,1050001,1100000,1075000,35947,19.09041215,26.6154,Females
scaffold_15_ctg1,1100001,1150000,1125000,34620,19.10291133,26,Females
scaffold_15_ctg1,1150001,1200000,1175000,34709,18.85810429,31.6154,Females
scaffold_15_ctg1,1200001,1250000,1225000,27236,18.30648434,25.1538,Females
scaffold_15_ctg1,1250001,1300000,1275000,35635,18.80623197,31.6923,Females
scaffold_15_ctg1,1300001,1350000,1325000,36461,18.56916292,28.6923,Females
scaffold_15_ctg1,1350001,1400000,1375000,38060,19.25158488,28.4615,Females
scaffold_15_ctg1,1400001,1450000,1425000,37082,20.30544976,31.2308,Females
scaffold_15_ctg1,1450001,1500000,1475000,32102,19.44008111,26.9231,Females
