CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_19_ctg1,10050001,10100000,10075000,34596,21,296.5,Females
scaffold_19_ctg1,10100001,10150000,10125000,27503,21,226.5,Females
scaffold_19_ctg1,10150001,10200000,10175000,34278,21,223,Females
scaffold_19_ctg1,4000001,4050000,4025000,35261,21,81.5,Females
scaffold_19_ctg1,3950001,4.00E+06,3975000,34836,21,59,Females
scaffold_19_ctg1,3900001,3950000,3925000,32667,21,82,Females
scaffold_19_ctg1,3800001,3850000,3825000,34186,21,74,Females
scaffold_19_ctg1,7550001,7600000,7575000,37104,21,56.5,Females
scaffold_19_ctg1,4050001,4100000,4075000,35838,21,71,Females
scaffold_19_ctg1,7600001,7650000,7625000,38513,21,65.5,Females
scaffold_19_ctg1,5050001,5100000,5075000,31155,21,45,Males
scaffold_19_ctg1,3400001,3450000,3425000,33983,21,35.2857,Males
scaffold_19_ctg1,8050001,8100000,8075000,40627,17.49977479,27.5714,Males
scaffold_19_ctg1,8000001,8050000,8025000,42580,17.46209009,28.2857,Males
scaffold_19_ctg1,7900001,7950000,7925000,38744,17.31338842,26.7143,Males
scaffold_19_ctg1,7850001,7900000,7875000,36825,17.28032522,28.7143,Males
scaffold_19_ctg1,5750001,5800000,5775000,40042,17.23625689,48.4286,Males
scaffold_19_ctg1,3700001,3750000,3725000,41010,17.21667525,27,Males
scaffold_19_ctg1,12000001,12050000,12025000,39010,17.12761019,38.7143,Males
scaffold_19_ctg1,9250001,9300000,9275000,37140,17.12586583,25,Males
scaffold_19_ctg1,7100001,7150000,7125000,37373,17.10365073,42.2857,Males
scaffold_19_ctg1,1350001,1400000,1375000,42163,16.95985955,30.5714,Males
scaffold_19_ctg1,550001,6.00E+05,575000,36623,16.94735421,47.7143,Males
scaffold_19_ctg1,3600001,3650000,3625000,40842,16.86228104,30.8571,Males
scaffold_19_ctg1,1200001,1250000,1225000,36792,16.85495938,92.4286,Males
scaffold_19_ctg1,8100001,8150000,8125000,40483,16.83681242,27.5714,Males
scaffold_19_ctg1,5650001,5700000,5675000,37632,16.59108618,51.7143,Males
scaffold_19_ctg1,9450001,9500000,9475000,39668,16.55316262,28.5714,Males
scaffold_19_ctg1,7800001,7850000,7825000,39843,16.49395022,33.2857,Males
scaffold_19_ctg1,7750001,7800000,7775000,39052,16.47012534,52.8571,Males
scaffold_19_ctg1,5600001,5650000,5625000,37530,16.43422912,28.4286,Males
scaffold_19_ctg1,8450001,8500000,8475000,40423,16.43018242,29.7143,Males
