CHROM,win_start,win_end,win_mid,mean_Het,Sexo
scaffold_19_ctg1,1,50000,25000,0.02665,Female
scaffold_19_ctg1,50001,1.00E+05,75000,0.015716667,Female
scaffold_19_ctg1,100001,150000,125000,0.0247,Female
scaffold_19_ctg1,150001,2.00E+05,175000,0.0286,Female
scaffold_19_ctg1,200001,250000,225000,0.019483333,Female
scaffold_19_ctg1,250001,3.00E+05,275000,0.019083333,Female
scaffold_19_ctg1,300001,350000,325000,0.024266667,Female
scaffold_19_ctg1,350001,4.00E+05,375000,0.018033333,Female
scaffold_19_ctg1,400001,450000,425000,0.00685,Female
scaffold_19_ctg1,450001,5.00E+05,475000,0.005833333,Female
scaffold_19_ctg1,500001,550000,525000,0.018716667,Female
scaffold_19_ctg1,550001,6.00E+05,575000,0.025416667,Female
scaffold_19_ctg1,600001,650000,625000,0.021866667,Female
scaffold_19_ctg1,650001,7.00E+05,675000,0.022333333,Female
scaffold_19_ctg1,700001,750000,725000,0.013883333,Female
scaffold_19_ctg1,750001,8.00E+05,775000,0.01135,Female
scaffold_19_ctg1,800001,850000,825000,0.015116667,Female
scaffold_19_ctg1,850001,9.00E+05,875000,0.018683333,Female
scaffold_19_ctg1,900001,950000,925000,0.0194,Female
scaffold_19_ctg1,950001,1.00E+06,975000,0.021116667,Female
scaffold_19_ctg1,1000001,1050000,1025000,0.0064,Female
scaffold_19_ctg1,1050001,1100000,1075000,0.011266667,Female
scaffold_19_ctg1,1100001,1150000,1125000,0.015766667,Female
scaffold_19_ctg1,1150001,1200000,1175000,0.005166667,Female
scaffold_19_ctg1,1200001,1250000,1225000,0.017816667,Female
scaffold_19_ctg1,1250001,1300000,1275000,0.023433333,Female
scaffold_19_ctg1,1300001,1350000,1325000,0.02115,Female
scaffold_19_ctg1,1350001,1400000,1375000,0.02005,Female
scaffold_19_ctg1,1400001,1450000,1425000,0.020533333,Female
scaffold_19_ctg1,1450001,1500000,1475000,0.016733333,Female
scaffold_19_ctg1,1500001,1550000,1525000,0.01705,Female
scaffold_19_ctg1,1550001,1600000,1575000,0.014016667,Female
scaffold_19_ctg1,1600001,1650000,1625000,0.019533333,Female
scaffold_19_ctg1,1650001,1700000,1675000,0.0214,Female
scaffold_19_ctg1,1700001,1750000,1725000,0.022766667,Female
scaffold_19_ctg1,1750001,1800000,1775000,0.018533333,Female
scaffold_19_ctg1,1800001,1850000,1825000,0.020433333,Female
scaffold_19_ctg1,1850001,1900000,1875000,0.0143,Female
scaffold_19_ctg1,1900001,1950000,1925000,0.0204,Female
scaffold_19_ctg1,1950001,2.00E+06,1975000,0.01445,Female
scaffold_19_ctg1,2000001,2050000,2025000,0.0226,Female
scaffold_19_ctg1,2050001,2100000,2075000,0.021,Female
scaffold_19_ctg1,2100001,2150000,2125000,0.014183333,Female
scaffold_19_ctg1,2150001,2200000,2175000,0.019516667,Female
scaffold_19_ctg1,2200001,2250000,2225000,0.020066667,Female
scaffold_19_ctg1,2250001,2300000,2275000,0.01995,Female
scaffold_19_ctg1,2300001,2350000,2325000,0.02295,Female
scaffold_19_ctg1,2350001,2400000,2375000,0.022333333,Female
scaffold_19_ctg1,2400001,2450000,2425000,0.01835,Female
scaffold_19_ctg1,2450001,2500000,2475000,0.013133333,Female
scaffold_19_ctg1,2500001,2550000,2525000,0.01935,Female
scaffold_19_ctg1,2550001,2600000,2575000,0.021933333,Female
scaffold_19_ctg1,2600001,2650000,2625000,0.021983333,Female
scaffold_19_ctg1,2650001,2700000,2675000,0.019,Female
scaffold_19_ctg1,2700001,2750000,2725000,0.024616667,Female
scaffold_19_ctg1,2750001,2800000,2775000,0.00145,Female
scaffold_19_ctg1,2800001,2850000,2825000,0.001133333,Female
scaffold_19_ctg1,2850001,2900000,2875000,0.010316667,Female
scaffold_19_ctg1,2900001,2950000,2925000,0.019633333,Female
scaffold_19_ctg1,2950001,3.00E+06,2975000,0.019466667,Female
scaffold_19_ctg1,3000001,3050000,3025000,0.021266667,Female
scaffold_19_ctg1,3050001,3100000,3075000,0.020516667,Female
scaffold_19_ctg1,3100001,3150000,3125000,0.01595,Female
scaffold_19_ctg1,3150001,3200000,3175000,0.0203,Female
scaffold_19_ctg1,3200001,3250000,3225000,0.021033333,Female
scaffold_19_ctg1,3250001,3300000,3275000,0.022683333,Female
scaffold_19_ctg1,3300001,3350000,3325000,0.017683333,Female
scaffold_19_ctg1,3350001,3400000,3375000,0.018966667,Female
scaffold_19_ctg1,3400001,3450000,3425000,0.018016667,Female
scaffold_19_ctg1,3450001,3500000,3475000,0.0208,Female
