CHROM,win_start,win_end,win_mid,mean_Het,Sexo
scaffold_15_ctg1,1,50000,22673,0.005876923,Females
scaffold_15_ctg1,50001,100000,75858,0.009815385,Females
scaffold_15_ctg1,100001,150000,125658,0.012584615,Females
scaffold_15_ctg1,150001,200000,174071,0.017546154,Females
scaffold_15_ctg1,200001,250000,221415,0.017561538,Females
scaffold_15_ctg1,250001,300000,273375,0.017438462,Females
scaffold_15_ctg1,300001,350000,325057,0.014292308,Females
scaffold_15_ctg1,350001,400000,375182,0.009884615,Females
scaffold_15_ctg1,400001,450000,425118,0.012923077,Females
scaffold_15_ctg1,450001,500000,474602,0.010484615,Females
scaffold_15_ctg1,500001,550000,524728,0.015238462,Females
scaffold_15_ctg1,550001,600000,574432,0.015176923,Females
scaffold_15_ctg1,600001,650000,624719,0.014215385,Females
scaffold_15_ctg1,650001,700000,675597,0.016323077,Females
scaffold_15_ctg1,700001,750000,722809,0.016246154,Females
scaffold_15_ctg1,750001,800000,776373,0.014130769,Females
scaffold_15_ctg1,800001,850000,824664,0.015,Females
scaffold_15_ctg1,850001,900000,875164,0.013392308,Females
scaffold_15_ctg1,900001,950000,923463,0.011492308,Females
scaffold_15_ctg1,950001,1000000,974744,0.015892308,Females
scaffold_15_ctg1,1000001,1050000,1024985,0.015769231,Females
scaffold_15_ctg1,1050001,1100000,1075274,0.016423077,Females
scaffold_15_ctg1,1100001,1150000,1126453,0.018169231,Females
scaffold_15_ctg1,1150001,1200000,1174711,0.018976923,Females
scaffold_15_ctg1,1200001,1250000,1224323,0.017976923,Females
scaffold_15_ctg1,1250001,1300000,1275351,0.017807692,Females
scaffold_15_ctg1,1300001,1350000,1324812,0.017669231,Females
scaffold_15_ctg1,1350001,1400000,1374794,0.015915385,Females
scaffold_15_ctg1,1400001,1450000,1424318,0.014730769,Females
scaffold_15_ctg1,1450001,1500000,1476365,0.015015385,Females
scaffold_15_ctg1,1500001,1550000,1524211,0.012769231,Females
scaffold_15_ctg1,1550001,1600000,1574662,0.015484615,Females
scaffold_15_ctg1,1600001,1650000,1624193,0.009884615,Females
scaffold_15_ctg1,1650001,1700000,1676624,0.012169231,Females
scaffold_15_ctg1,1700001,1750000,1726734,0.013015385,Females
scaffold_15_ctg1,1750001,1800000,1772813,0.016492308,Females
scaffold_15_ctg1,1800001,1850000,1825675,0.017138462,Females
scaffold_15_ctg1,1850001,1900000,1874461,0.015730769,Females
scaffold_15_ctg1,1900001,1950000,1925012,0.017323077,Females
scaffold_15_ctg1,1950001,2000000,1974929,0.016084615,Females
scaffold_15_ctg1,2000001,2050000,2024074,0.018907692,Females
scaffold_15_ctg1,2050001,2100000,2076053,0.019338462,Females
scaffold_15_ctg1,2100001,2150000,2125292,0.019776923,Females
scaffold_15_ctg1,2150001,2200000,2175184,0.0187,Females
scaffold_15_ctg1,2200001,2250000,2226517,0.019576923,Females
scaffold_15_ctg1,2250001,2300000,2272989,0.020569231,Females
scaffold_15_ctg1,2300001,2350000,2323594,0.020161538,Females
scaffold_15_ctg1,2350001,2400000,2375468,0.0191,Females
scaffold_15_ctg1,2400001,2450000,2421367,0.0199,Females
scaffold_15_ctg1,2450001,2500000,2477196,0.018807692,Females
scaffold_15_ctg1,2500001,2550000,2524550,0.018153846,Females
scaffold_15_ctg1,2550001,2600000,2575189,0.019507692,Females
scaffold_15_ctg1,2600001,2650000,2624895,0.020323077,Females
scaffold_15_ctg1,2650001,2700000,2674798,0.0194,Females
scaffold_15_ctg1,2700001,2750000,2725579,0.015776923,Females
scaffold_15_ctg1,2750001,2800000,2774985,0.015861538,Females
scaffold_15_ctg1,2800001,2850000,2826774,0.011553846,Females
scaffold_15_ctg1,2850001,2900000,2875279,0.015284615,Females
scaffold_15_ctg1,2900001,2950000,2923415,0.017,Females
scaffold_15_ctg1,2950001,3000000,2974046,0.020138462,Females
scaffold_15_ctg1,3000001,3050000,3025073,0.016553846,Females
scaffold_15_ctg1,3050001,3100000,3075383,0.015469231,Females
scaffold_15_ctg1,3100001,3150000,3123096,0.016169231,Females
scaffold_15_ctg1,3150001,3200000,3175381,0.010630769,Females
