INDV,O(HOM),E(HOM),N_SITES,F,O(HET),Prop,Species,Chrom,SEXO
A2458__Heeleu_L2,3671262,3382364.1,3683095,0.96065,11833,0.003212787,H.eleuchia,Chr1,Male
A2790__Hssaph_L2,3713745,3476232.2,3787132,0.76395,73387,0.019377988,H.sapho,Chr1,Male
A28_US_Hasnov_L2,3693855,3425080.2,3730380,0.88036,36525,0.009791228,H.congener,Chr1,Male
A3154__Heeleu_L2,3733532,3439141.4,3746053,0.9592,12521,0.003342451,H.eleuchia,Chr1,Male
A323_U_Hasnov_L2,3687855,3456755.5,3766107,0.74705,78252,0.020777955,H.antiochus,Chr1,Female
A3491__Hschoc_L3,3667973,3434692.1,3740872,0.76191,72899,0.019487168,H.sapho,Chr1,Female
A3497__Hschoc,3710604,3470820.8,3781194,0.77256,70590,0.018668706,H.sapho,Chr1,Male
A3501__Hschoc_L2,3690508,3452815.2,3761182,0.77081,70674,0.01879037,H.sapho,Chr1,Male
A3646__Heeleu_L2,3602707,3357375.3,3656727,0.81954,54020,0.014772774,H.eleuchia,Chr1,Male
A3740__Hcaqui_L2,3767196,3491459.2,3804309,0.88137,37113,0.009755517,H.congener,Chr1,Male
A3837__Hcaqui_L2,3752747,3463511.8,3773313,0.93362,20566,0.005450383,H.congener,Chr1,Male
A3856__Hsspru_L1,3735444,3666272.5,4002354,0.20582,266910,0.066688254,H.sara,Chr1,Female
A3858__Hsspru_L1,3821729,3640841.7,3974109,0.54277,152380,0.038343186,H.sara,Chr1,Female
A3861__Hsspru_L1,3813480,3641590.5,3974929,0.51566,161449,0.040616826,H.sara,Chr1,Female
A3900__Hsmagd_L1,3803202,3644230.8,3977983,0.47632,174781,0.043937091,H.sara,Chr1,Female
A4016__Hlleuc,3718507,3486412.2,3801907,0.73565,83400,0.02193636,H.leucadia,Chr1,Female
A4121__Hssara_L1,3755129,3630357.1,3962169,0.37603,207040,0.052254207,H.sara,Chr1,Male
A4272__Hssara_L1,3736264,3612121.8,3941997,0.37633,205733,0.052190045,H.sara,Chr1,Male
A4278__Hcaqui_L2,3731487,3458716.5,3767816,0.88247,36329,0.009641925,H.congener,Chr1,Male
A4340__Hsmagd_L1,3733639,3609688.2,3939294,0.37606,205655,0.052206055,H.sara,Chr1,Male
A4343__Hssara_L1,3743796,3618652.7,3949274,0.37851,205478,0.05202931,H.sara,Chr1,Female
A4489__Hssara_L1,3753349,3628678.4,3960348,0.37589,206999,0.052267882,H.sara,Chr1,Male
A4534__Hsbrev_L2,3810634,3651867.7,3986431,0.47455,175797,0.044098844,H.sara,Chr1,Female
A4538__Hsbrev_L2,3807807,3647384.9,3981558,0.48006,173751,0.043638947,H.sara,Chr1,Male
A4678__Hselek_L2,3847834,3622292.4,3953575,0.68081,105741,0.026745667,H.sara,Chr1,Female
A4680__Hselek_L6,3824109,3600867.6,3930058,0.67815,105949,0.026958635,H.sara,Chr1,Male
A4683__Hselek_L2,3834226,3607469.4,3937338,0.68741,103112,0.026188252,H.sara,Chr1,Female
A4749__Heeleu,3670750,3422737.2,3727941,0.81261,57191,0.015341176,H.eleuchia,Chr1,Female
D3_USD_Hvenez_L1,3663259,3377555.2,3678712,0.94869,15453,0.004200655,H.hewitsoni,Chr1,Male
D5208__Hvenez_L1,3567144,3342797.4,3641044,0.75222,73900,0.020296377,H.antiochus,Chr1,Male
D5211__Hvenez_L1,3709266,3589960.5,3917903,0.3638,208637,0.053252212,H.sara,Chr1,Male
D5213__Hvenez_L1,3638979,3409559.5,3714878,0.75141,75899,0.020431088,H.antiochus,Chr1,Male
D5221__Hvenez_L1,3588032,3364666.8,3664802,0.74422,76770,0.020947926,H.antiochus,Chr1,Female
D5248__Hvenez_L1,3757959,3597789.7,3926905,0.48667,168946,0.043022686,H.sara,Chr1,Female
D5253__Hvenez_L1,3610508,3360160.7,3660033,0.83485,49525,0.013531299,H.antiochus,Chr1,Male
D5259__Hvenez_L1,3624157,3393566.8,3696728,0.76062,72571,0.019631144,H.antiochus,Chr1,Male
D5270__Hvenez_L1,3585286,3383721.6,3686000,0.66682,100714,0.027323386,H.antiochus,Chr1,Male
D5273__Hvenez_L1,3560784,3357454.8,3656180,0.68066,95396,0.026091713,H.antiochus,Chr1,Female
D5276__Hvenez_L1,3591597,3387729.4,3690306,0.67377,98709,0.026748188,H.antiochus,Chr1,Female
D6_USD_Hvenez_L1,3605843,3322619.9,3617547,0.96032,11704,0.003235342,H.hewitsoni,Chr1,Female
D7_USD_Hvenez_L1,3603730,3320306.6,3614639,0.96294,10909,0.003018005,H.hewitsoni,Chr1,Male
R_1163_Hasnov_L8,3634288,3417707.5,3723121,0.70914,88833,0.023859821,H.antiochus,Chr1,Male
R_15_D_Hssara_L1,3702716,3578741.4,3904930,0.38007,202214,0.051784283,H.sara,Chr1,Male
R_16_D_Hssara_L1,3715994,3588606.5,3915968,0.38913,199974,0.051066301,H.sara,Chr1,Male
R_2794_Hssaph_L7,3598109,3363692.7,3662328,0.78496,64219,0.017535021,H.sapho,Chr1,Female
R_31_D_Hsmagd_L1,3782860,3623976.4,3955621,0.47908,172761,0.043674811,H.sara,Chr1,Male
R_32_D_Hsmagd_L2,3790956,3627197.2,3959065,0.49345,168109,0.042461793,H.sara,Chr1,Male
R_3467_Hssara_L1,3706014,3578926.9,3905203,0.38951,199189,0.051006055,H.sara,Chr1,Male
R_3510_Hschoc_L8,3634868,3401681,3704405,0.7703,69537,0.018771436,H.sapho,Chr1,Female
R_3511_Hschoc_L2,3635665,3402776.6,3705392,0.76959,69727,0.018817712,H.sapho,Chr1,Male
R_35_D_Hssara_L1,3704597,3576828.3,3902843,0.39191,198246,0.050795279,H.sara,Chr1,Female
R_36_D_Hssara_L8,3645890,3634348.4,3966347,0.03476,320457,0.08079399,H.sara,Chr1,Female
R_3751_Hssara_L8,3720828,3598608.6,3926947,0.37224,206119,0.052488358,H.sara,Chr1,Female
R_37_D_Hssara_L2,3625970,3619700.3,3949913,0.01899,323943,0.082012692,H.sara,Chr1,Female
R_4134_Hsmagd_L7,3735635,3608209.3,3937668,0.38677,202033,0.051307779,H.sara,Chr1,Male
R_4186_Hsmagd_L8,3773401,3611108,3941511,0.4912,168110,0.042651156,H.sara,Chr1,Male
R_4187_Hsmagd_L1,3798604,3635829.8,3968728,0.48896,170124,0.042866127,H.sara,Chr1,Male
R_4510_Hssaph_L8,3677881,3449231.9,3757189,0.74247,79308,0.021108334,H.sapho,Chr1,Female
R_4590_Hsspru_L2,3793946,3608803.8,3938695,0.56122,144749,0.036750497,H.sara,Chr1,Male
R_4591_Hsspru_L1,3765983,3603489.7,3933018,0.49311,167035,0.04246993,H.sara,Chr1,Male
R_4597_Hsspru_L7,3782477,3621547.7,3952876,0.48571,170399,0.043107601,H.sara,Chr1,Female
R_4864_Heeleu_L7,3647774,3399695.6,3702438,0.81944,54664,0.014764326,H.eleuchia,Chr1,Female
R_4871_Heeleu_L8,3610396,3363446.7,3661905,0.82742,51509,0.014066176,H.eleuchia,Chr1,Male
R_5074_Haaran_L7,3625703,3398455,3701594,0.74965,75891,0.020502248,H.antiochus,Chr1,Female
R_5091_Hssaph_L8,3662025,3430179.7,3736063,0.75795,74038,0.019817118,H.sapho,Chr1,Female
R_5092_Hssaph_L1,3666065,3447532,3755014,0.71072,88949,0.023688061,H.sapho,Chr1,Female
R_5237_Hssaph_L3,3626171,3400660.7,3703401,0.7449,77230,0.020853804,H.sapho,Chr1,Male
R_5314_Hssaph_L3,3630785,3404975.3,3708471,0.74403,77686,0.020948256,H.sapho,Chr1,Female
R_5324_Hssaph_L3,3651745,3425156.3,3730789,0.74138,79044,0.021186939,H.sapho,Chr1,Male
R_806__Hccong_L1,3671155,3400598.2,3703442,0.89339,32287,0.008718106,H.congener,Chr1,Female
R_807__Hccong_L1,3652797,3383339.2,3684404,0.89502,31607,0.008578592,H.congener,Chr1,Male
R_808__Hccong_L1,3632391,3365187.3,3664050,0.89407,31659,0.008640439,H.congener,Chr1,Male
R_812__Hssara_L3,3710550,3586272.5,3913307,0.38001,202757,0.051812189,H.sara,Chr1,Female
R_820__Hssara_L3,3723293,3599161.6,3927526,0.37803,204233,0.05200042,H.sara,Chr1,Male
R_828__Hssara_L3,3718600,3588392.3,3915559,0.39799,196959,0.05030163,H.sara,Chr1,Male
R_831__Hccong_L7,3522635,3274303.2,3561951,0.86332,39316,0.011037771,H.congener,Chr1,Female
R_869__Heprim_L3,3527565,3284185.2,3574580,0.8381,47015,0.013152594,H.eleuchia,Chr1,Male
R_870__Heprim_L3,3588594,3341770.6,3638245,0.83253,49651,0.013646964,H.eleuchia,Chr1,Female
R_871__Hsspru_L3,3788535,3610627,3940814,0.53881,152279,0.038641509,H.sara,Chr1,Male
R_886__Hsspru_L3,3784476,3622605.6,3954005,0.48845,169529,0.042875262,H.sara,Chr1,Male
R_887__Heprim_L3,3490083,3249144,3536119,0.83958,46036,0.013018793,H.eleuchia,Chr1,Female
R_888__Heprim_L3,3526931,3283891,3574190,0.83721,47259,0.013222297,H.eleuchia,Chr1,Male
S1053__Hssara_L7,3748568,3624171.6,3955418,0.37554,206850,0.052295358,H.sara,Chr1,Male
S12_US_Hssara_L7,3741672,3617850.3,3948403,0.37459,206731,0.052358131,H.sara,Chr1,Female
S1_USD_Hssara_L7,3734520,3610074.3,3939731,0.3775,205211,0.052087566,H.sara,Chr1,Male
S2083__Heeleu_L2,3738243,3442538.8,3750223,0.96106,11980,0.003194477,H.eleuchia,Chr1,Male
S21203_Haanti_L5,3683894,3479280.8,3791770,0.65478,107876,0.028450038,H.antiochus,Chr1,Female
S21204_Hssara_L5,3739668,3615824.6,3946030,0.37505,206362,0.052296105,H.sara,Chr1,Male
S21229_Haanti_L5,3667063,3464108.5,3775101,0.6526,108038,0.028618572,H.antiochus,Chr1,Male
S21234_Haanti_L2,3687128,3481657.5,3794123,0.65758,106995,0.028200193,H.antiochus,Chr1,Female
S2172__Hsmagd_L5,3761244,3651528.6,3985899,0.32813,224655,0.056362442,H.sara,Chr1,Male
S2852__Heprim_L2,3670000,3416141,3721006,0.83269,51006,0.013707583,H.eleuchia,Chr1,Male
S29_US_Hsmagd_L2,3645666,3672867,4009568,-0.08079,363902,0.090758406,H.sara,Chr1,Male
S3106__Heeleu_L2,3564922,3285131.2,3575989,0.96195,11067,0.003094808,H.eleuchia,Chr1,Male
S337_1_Haanti_L2,3682531,3474896.2,3786723,0.66587,104192,0.027515084,H.antiochus,Chr1,Male
S33_US_Hlpseu_L5,3724941,3486106.3,3801741,0.75668,76800,0.020201271,H.leucadia,Chr1,Male
S3533__Hsmagd_L5,3806320,3646743.6,3980820,0.47766,174500,0.04383519,H.sara,Chr1,Male
S40203_Hccong_L2,3705273,3434733.1,3741669,0.88142,36396,0.00972721,H.congener,Chr1,Male
S40219_Hssara_L7,3743903,3620177.1,3951054,0.37393,207151,0.052429301,H.sara,Chr1,Male
S40343_Heprim_L2,3665187,3410081.8,3714323,0.8385,49136,0.01322879,H.eleuchia,Chr1,Male
S4096__Haanti_L5,3680490,3475285.1,3787485,0.65729,106995,0.028249617,H.antiochus,Chr1,Female
S4097__Haanti_L5,3683317,3477958.9,3790506,0.65705,107189,0.028278283,H.antiochus,Chr1,Male
S4346__Hsmagd_L5,3729306,3604692,3933869,0.37856,204563,0.052000461,H.sara,Chr1,Female
S4704__Hselek_L5,3842922,3615645.1,3946388,0.68717,103466,0.026217898,H.sara,Chr1,Male
S4895__Hasnov_L2,3709651,3491526.8,3805408,0.69493,95757,0.025163399,H.antiochus,Chr1,Female
S4897__Haaran_L2,3678713,3458128.8,3768373,0.711,89660,0.023792761,H.antiochus,Chr1,Male
S534_U_Heeleu_L5,3725140,3473249.1,3785040,0.80788,59900,0.01582546,H.eleuchia,Chr1,Male
S5_USD_Hssara_L7,3717170,3592149.1,3919888,0.38146,202718,0.051715253,H.sara,Chr1,Male
S857_U_Heeleu_L2,3724276,3428137.6,3734332,0.96716,10056,0.002692851,H.eleuchia,Chr1,Female
S8970__Heeleu_L2,3677910,3426704.9,3732816,0.82063,54906,0.014709003,H.eleuchia,Chr1,Female
S8_USD_Hssara_L7,3740489,3615925,3946285,0.37706,205796,0.0521493,H.sara,Chr1,Male
S9556__Haaran_L2,3683480,3445186,3753794,0.77216,70314,0.018731449,H.antiochus,Chr1,Female
A2458__Heeleu_L2,1880103,1729146.5,1888008,0.95024,7905,0.004186953,H.eleuchia,Chr2,Male
A2790__Hssaph_L2,1916379,1795017,1960994,0.7312,44615,0.022751217,H.sapho,Chr2,Male
A28_US_Hasnov_L2,1894602,1755630.1,1917236,0.85994,22634,0.011805537,H.congener,Chr2,Male
A3154__Heeleu_L2,1920758,1766218.6,1929241,0.94796,8483,0.004397066,H.eleuchia,Chr2,Male
A323_U_Hasnov_L2,1905162,1784451.7,1949555,0.73112,44393,0.022770837,H.antiochus,Chr2,Female
A3491__Hschoc_L3,1882912,1760878.4,1922924,0.75308,40012,0.020807895,H.sapho,Chr2,Female
A3497__Hschoc,1916553,1782476.4,1947165,0.81412,30612,0.015721318,H.sapho,Chr2,Male
A3501__Hschoc_L2,1897958,1775640.3,1939557,0.74622,41599,0.021447681,H.sapho,Chr2,Male
A3646__Heeleu_L2,1876030,1745117.7,1906172,0.81285,30142,0.015812844,H.eleuchia,Chr2,Male
A3740__Hcaqui_L2,1947426,1804586.8,1972048,0.85297,24622,0.012485497,H.congener,Chr2,Male
A3837__Hcaqui_L2,1933218,1785638.6,1950913,0.89294,17695,0.009070112,H.congener,Chr2,Male
A3856__Hsspru_L1,1946905,1919894.8,2102592,0.14784,155687,0.074045274,H.sara,Chr2,Female
A3858__Hsspru_L1,1987386,1898199.9,2078496,0.49466,91110,0.04383458,H.sara,Chr2,Female
A3861__Hsspru_L1,1985191,1903158.1,2084061,0.45346,98870,0.04744103,H.sara,Chr2,Female
A3900__Hsmagd_L1,1981417,1902285.4,2083080,0.43769,101663,0.048804175,H.sara,Chr2,Female
A4016__Hlleuc,1913411,1796561.6,1964931,0.69401,51520,0.02621975,H.leucadia,Chr2,Female
A4121__Hssara_L1,1948969,1896063.5,2075804,0.29434,126835,0.061101626,H.sara,Chr2,Male
A4272__Hssara_L1,1932088,1878545.2,2056470,0.30093,124382,0.060483255,H.sara,Chr2,Male
A4278__Hcaqui_L2,1919091,1778404.7,1942730,0.85615,23639,0.012167929,H.congener,Chr2,Male
A4340__Hsmagd_L1,1929585,1873806.6,2050914,0.31494,121329,0.059158502,H.sara,Chr2,Male
A4343__Hssara_L1,1941085,1886793.8,2065527,0.30376,124442,0.060247094,H.sara,Chr2,Female
A4489__Hssara_L1,1954383,1878128.3,2055856,0.42905,101473,0.049358029,H.sara,Chr2,Male
A4534__Hsbrev_L2,1984856,1906267,2087368,0.43395,102512,0.04911065,H.sara,Chr2,Female
A4538__Hsbrev_L2,1983219,1906371.3,2087662,0.42389,104443,0.050028692,H.sara,Chr2,Male
A4678__Hselek_L2,2002235,1885844.3,2064827,0.65029,62592,0.030313435,H.sara,Chr2,Female
A4680__Hselek_L6,1981641,1866627,2043566,0.65002,61925,0.030302422,H.sara,Chr2,Male
A4683__Hselek_L2,1986137,1874471.7,2052279,0.62801,66142,0.032228562,H.sara,Chr2,Female
A4749__Heeleu,1875989,1746213.3,1907086,0.8067,31097,0.016306029,H.eleuchia,Chr2,Female
D3_USD_Hvenez_L1,1873545,1724131.2,1883171,0.93947,9626,0.005111591,H.hewitsoni,Chr2,Male
D5208__Hvenez_L1,1809831,1693317.3,1849335,0.7468,39504,0.021361192,H.antiochus,Chr2,Male
D5211__Hvenez_L1,1904722,1852634.4,2027825,0.29732,123103,0.060706915,H.sara,Chr2,Male
D5213__Hvenez_L1,1869521,1750878.3,1913136,0.7312,43615,0.022797647,H.antiochus,Chr2,Male
D5221__Hvenez_L1,1828980,1713512.7,1871486,0.73093,42506,0.022712433,H.antiochus,Chr2,Female
D5248__Hvenez_L1,1945961,1866171.9,2043089,0.451,97128,0.047539779,H.sara,Chr2,Female
D5253__Hvenez_L1,1841761,1711223.3,1869116,0.82675,27355,0.014635261,H.antiochus,Chr2,Male
D5259__Hvenez_L1,1860152,1741169.6,1902033,0.73965,41881,0.022019071,H.antiochus,Chr2,Male
D5270__Hvenez_L1,1833103,1730248.8,1889927,0.64413,56824,0.03006677,H.antiochus,Chr2,Male
D5273__Hvenez_L1,1818764,1715094.8,1872756,0.65754,53992,0.028830237,H.antiochus,Chr2,Female
D5276__Hvenez_L1,1833936,1731335.2,1891106,0.64217,57170,0.030230987,H.antiochus,Chr2,Female
D6_USD_Hvenez_L1,1840276,1690325.5,1845465,0.96655,5189,0.002811757,H.hewitsoni,Chr2,Female
D7_USD_Hvenez_L1,1839316,1688252.4,1843087,0.97564,3771,0.002046024,H.hewitsoni,Chr2,Male
R_1163_Hasnov_L8,1866797,1752818.9,1914470,0.70509,47673,0.024901409,H.antiochus,Chr2,Male
R_15_D_Hssara_L1,1905995,1849206.8,2023758,0.32534,117763,0.058190258,H.sara,Chr2,Male
R_16_D_Hssara_L1,1915064,1857639.5,2032941,0.32758,117877,0.057983483,H.sara,Chr2,Male
R_2794_Hssaph_L7,1843848,1721143.4,1879024,0.7772,35176,0.018720357,H.sapho,Chr2,Female
R_31_D_Hsmagd_L1,1966023,1886585.1,2065552,0.44387,99529,0.048185182,H.sara,Chr2,Male
R_32_D_Hsmagd_L2,1969760,1891394.2,2070916,0.43653,101156,0.048846018,H.sara,Chr2,Male
R_3467_Hssara_L1,1909485,1852135.7,2026861,0.32823,117376,0.057910237,H.sara,Chr2,Male
R_3510_Hschoc_L8,1857373,1738359.2,1897896,0.746,40523,0.021351539,H.sapho,Chr2,Female
R_3511_Hschoc_L2,1860611,1741948.6,1901772,0.74246,41161,0.021643499,H.sapho,Chr2,Male
R_35_D_Hssara_L1,1908678,1851821,2026703,0.32512,118025,0.058234976,H.sara,Chr2,Female
R_36_D_Hssara_L8,1884221,1893540.6,2072590,-0.05205,188369,0.0908858,H.sara,Chr2,Female
R_3751_Hssara_L8,1923338,1867892.7,2044500,0.31395,121162,0.059262411,H.sara,Chr2,Female
R_37_D_Hssara_L2,1869967,1882229.1,2059861,-0.06903,189894,0.092187774,H.sara,Chr2,Female
R_4134_Hsmagd_L7,1934330,1881190.7,2059222,0.29848,124892,0.06065009,H.sara,Chr2,Male
R_4186_Hsmagd_L8,1953938,1874170.1,2051901,0.44881,97963,0.047742557,H.sara,Chr2,Male
R_4187_Hsmagd_L1,1973775,1895073.5,2075161,0.43702,101386,0.048856932,H.sara,Chr2,Male
R_4510_Hssaph_L8,1892531,1776045.6,1939941,0.71073,47410,0.024438888,H.sapho,Chr2,Female
R_4590_Hsspru_L2,1960566,1882116.5,2060659,0.43939,100093,0.048573296,H.sara,Chr2,Male
R_4591_Hsspru_L1,1948781,1869655.7,2046955,0.44628,98174,0.047960996,H.sara,Chr2,Male
R_4597_Hsspru_L7,1964499,1885248.7,2064224,0.4428,99725,0.048311133,H.sara,Chr2,Female
R_4864_Heeleu_L7,1865944,1736274.2,1895965,0.81201,30021,0.015834153,H.eleuchia,Chr2,Female
R_4871_Heeleu_L8,1836245,1709174.7,1865700,0.81182,29455,0.01578764,H.eleuchia,Chr2,Male
R_5074_Haaran_L7,1857015,1738984.7,1899023,0.73751,42008,0.022120848,H.antiochus,Chr2,Female
R_5091_Hssaph_L8,1877340,1760709.8,1922931,0.71896,45591,0.023709119,H.sapho,Chr2,Female
R_5092_Hssaph_L1,1885999,1772579.4,1935857,0.69464,49858,0.025755002,H.sapho,Chr2,Female
R_5237_Hssaph_L3,1854843,1739846.4,1899795,0.71896,44952,0.0236615,H.sapho,Chr2,Male
R_5314_Hssaph_L3,1863156,1747527.1,1908355,0.71896,45199,0.023684797,H.sapho,Chr2,Female
R_5324_Hssaph_L3,1873759,1757596.8,1919309,0.71833,45550,0.0237325,H.sapho,Chr2,Male
R_806__Hccong_L1,1886732,1747580.1,1908440,0.86505,21708,0.011374735,H.congener,Chr2,Female
R_807__Hccong_L1,1871779,1733232.2,1892504,0.86988,20725,0.0109511,H.congener,Chr2,Male
R_808__Hccong_L1,1860032,1722092.6,1880209,0.87239,20177,0.010731254,H.congener,Chr2,Male
R_812__Hssara_L3,1917554,1861454.4,2037249,0.31912,119695,0.05875325,H.sara,Chr2,Female
R_820__Hssara_L3,1922565,1865921.8,2042327,0.3211,119762,0.058639973,H.sara,Chr2,Male
R_828__Hssara_L3,1918677,1862986.2,2038887,0.3166,120210,0.058958638,H.sara,Chr2,Male
R_831__Hccong_L7,1783238,1655378.5,1805028,0.85439,21790,0.012071835,H.congener,Chr2,Female
R_869__Heprim_L3,1782070,1656918.4,1808218,0.82718,26148,0.014460646,H.eleuchia,Chr2,Male
R_870__Heprim_L3,1828470,1698684.5,1854393,0.83352,25923,0.013979237,H.eleuchia,Chr2,Female
R_871__Hsspru_L3,1964352,1881301.2,2059729,0.46546,95377,0.046305606,H.sara,Chr2,Male
R_886__Hsspru_L3,1970766,1881181.3,2059712,0.50179,88946,0.043183707,H.sara,Chr2,Male
R_887__Heprim_L3,1766961,1643211.1,1793008,0.82612,26047,0.014526985,H.eleuchia,Chr2,Female
R_888__Heprim_L3,1783657,1657432.6,1808677,0.83457,25020,0.013833316,H.eleuchia,Chr2,Male
S1053__Hssara_L7,1944862,1890828,2070005,0.30157,125143,0.06045541,H.sara,Chr2,Male
S12_US_Hssara_L7,1935515,1879227.5,2057150,0.31636,121635,0.05912792,H.sara,Chr2,Female
S1_USD_Hssara_L7,1935780,1880142.4,2058116,0.31262,122336,0.05944077,H.sara,Chr2,Male
S2083__Heeleu_L2,1931034,1774659,1938919,0.952,7885,0.004066699,H.eleuchia,Chr2,Male
S21203_Haanti_L5,1907434,1802340.7,1969925,0.62711,62491,0.031722528,H.antiochus,Chr2,Female
S21204_Hssara_L5,1936218,1881892.1,2060125,0.3048,123907,0.06014538,H.sara,Chr2,Male
S21229_Haanti_L5,1889670,1785698.5,1951477,0.62717,61807,0.031671908,H.antiochus,Chr2,Male
S21234_Haanti_L2,1904110,1798995.1,1966038,0.62927,61928,0.031498883,H.antiochus,Chr2,Female
S2172__Hsmagd_L5,1955964,1906526.9,2087585,0.27305,131621,0.063049409,H.sara,Chr2,Male
S2852__Heprim_L2,1871026,1739813.3,1899824,0.82002,28798,0.015158246,H.eleuchia,Chr2,Male
S29_US_Hsmagd_L2,1899006,1922762.5,2105542,-0.12997,206536,0.098091608,H.sara,Chr2,Male
S3106__Heeleu_L2,1807050,1662352.4,1814564,0.95063,7514,0.00414094,H.eleuchia,Chr2,Male
S337_1_Haanti_L2,1902071,1792560.1,1958847,0.65857,56776,0.028984397,H.antiochus,Chr2,Male
S33_US_Hlpseu_L5,1918446,1797807.9,1966570,0.71484,48124,0.024471033,H.leucadia,Chr2,Male
S3533__Hsmagd_L5,1986514,1908474.3,2089857,0.43025,103343,0.049449795,H.sara,Chr2,Male
S40203_Hccong_L2,1903468,1763684.9,1926577,0.85813,23109,0.011994849,H.congener,Chr2,Male
S40219_Hssara_L7,1937649,1883276.7,2061660,0.30481,124011,0.060151043,H.sara,Chr2,Male
S40343_Heprim_L2,1873219,1742435.7,1903027,0.81439,29808,0.015663467,H.eleuchia,Chr2,Male
S4096__Haanti_L5,1900320,1796421.7,1963360,0.62238,63040,0.032108223,H.antiochus,Chr2,Female
S4097__Haanti_L5,1901246,1796557.4,1963485,0.62715,62239,0.03169823,H.antiochus,Chr2,Male
S4346__Hsmagd_L5,1929837,1875922.9,2053472,0.30366,123635,0.060207785,H.sara,Chr2,Female
S4704__Hselek_L5,1999646,1883536.7,2062337,0.64938,62691,0.030398039,H.sara,Chr2,Male
S4895__Hasnov_L2,1925099,1810849.7,1979322,0.67815,54223,0.027394734,H.antiochus,Chr2,Female
S4897__Haaran_L2,1898757,1787683.1,1953540,0.6697,54783,0.028042937,H.antiochus,Chr2,Male
S534_U_Heeleu_L5,1917652,1785152,1950910,0.79936,33258,0.017047429,H.eleuchia,Chr2,Male
S5_USD_Hssara_L7,1919426,1864733.5,2041096,0.31011,121670,0.059610131,H.sara,Chr2,Male
S857_U_Heeleu_L2,1917269,1761462.7,1924269,0.957,7000,0.003637745,H.eleuchia,Chr2,Female
