Chrom,start,end,mid,sites,pi_H.ant.Andes,pi_H.ant.Amaz,dxy_H.ant.Andes_H.ant.Amaz,Fst_H.ant.Andes_H.ant.Amaz
Chrom1,1,50000,25000,39630,0.0029,0.005,0.0045,0.0752
Chrom1,50001,100001,50000.5,38640,0.0053,0.0076,0.0071,0.0491
Chrom1,100002,150002,75001,34957,0.0062,0.0063,0.0071,0.0627
Chrom1,150003,200003,100001.5,36244,0.0068,0.0068,0.0075,0.0504
Chrom1,200004,250004,125002,36733,0.0084,0.0087,0.0096,0.0582
Chrom1,250005,300005,150002.5,39320,0.0067,0.0065,0.0076,0.0696
Chrom1,300006,350006,175003,37583,0.0064,0.0077,0.0081,0.0678
Chrom1,350007,400007,200003.5,28401,0.0052,0.005,0.0055,0.0334
Chrom1,400008,450008,225004,39774,0.005,0.0049,0.0055,0.0526
Chrom1,450009,500009,250004.5,38199,0.0053,0.0056,0.006,0.0471
Chrom1,500010,550010,275005,35511,0.004,0.0046,0.0046,0.0294
Chrom1,550011,600011,300005.5,35593,0.0058,0.0072,0.0073,0.0605
Chrom1,600012,650012,325006,35213,0.0055,0.0065,0.0067,0.0613
Chrom1,650013,700013,350006.5,32389,0.004,0.006,0.0056,0.0572
Chrom1,700014,750014,375007,38739,0.0062,0.0063,0.0068,0.0449
Chrom1,750015,800015,400007.5,37546,0.0066,0.0073,0.0073,0.0299
Chrom1,800016,850016,425008,37575,0.0069,0.0078,0.0082,0.0574
Chrom1,850017,900017,450008.5,39896,0.006,0.0068,0.007,0.0451
Chrom1,900018,950018,475009,39389,0.0062,0.0069,0.0073,0.0581
Chrom1,950019,1000019,500009.5,35921,0.0057,0.0061,0.0062,0.0291
Chrom1,1000020,1050020,525010,39325,0.0056,0.007,0.0079,0.1166
Chrom1,1050021,1100021,550010.5,36578,0.0068,0.0079,0.0078,0.0351
Chrom1,1100022,1150022,575011,36835,0.0055,0.0073,0.007,0.0501
Chrom1,1150023,1200023,600011.5,36463,0.005,0.0068,0.007,0.0883
Chrom1,1200024,1250024,625012,39029,0.0049,0.0062,0.0059,0.0367
Chrom1,1250025,1300025,650012.5,39010,0.0066,0.0074,0.0075,0.0338
Chrom1,1300026,1350026,675013,37123,0.0075,0.0091,0.009,0.0452
Chrom1,1350027,1400027,700013.5,31909,0.0068,0.0077,0.0082,0.0624
Chrom1,1400028,1450028,725014,38299,0.0052,0.007,0.0076,0.114
Chrom1,1450029,1500029,750014.5,38220,0.0058,0.0072,0.0076,0.0836
Chrom1,1500030,1550030,775015,31321,0.0059,0.0071,0.0074,0.0637
Chrom1,1550031,1600031,800015.5,38039,0.0059,0.0068,0.0074,0.0787
Chrom1,1600032,1650032,825016,35219,0.004,0.0047,0.0048,0.049
Chrom1,1650033,1700033,850016.5,32667,0.0051,0.006,0.0064,0.0738
Chrom1,1700034,1750034,875017,40133,0.0053,0.0062,0.0063,0.0469
Chrom1,1750035,1800035,900017.5,38548,0.0058,0.0073,0.0072,0.0502
Chrom1,1800036,1850036,925018,40173,0.0041,0.0058,0.0062,0.1185
Chrom1,1850037,1900037,950018.5,40016,0.0063,0.0068,0.0074,0.0612
Chrom1,1900038,1950038,975019,40868,0.0058,0.0056,0.0061,0.0301
Chrom1,1950039,2000039,1000019.5,40572,0.0054,0.0058,0.0061,0.0502
Chrom1,2000040,2050040,1025020,40662,0.005,0.0057,0.0061,0.0673
Chrom1,2050041,2100041,1050020.5,34672,0.0058,0.0066,0.0071,0.0684
Chrom1,2100042,2150042,1075021,38837,0.0047,0.0066,0.0068,0.0946
Chrom1,2150043,2200043,1100021.5,35614,0.0073,0.0099,0.0102,0.0892
Chrom1,2200044,2250044,1125022,35954,0.0075,0.0098,0.0097,0.0584
Chrom1,2250045,2300045,1150022.5,35194,0.007,0.0085,0.0087,0.0604
Chrom1,2300046,2350046,1175023,34263,0.0052,0.0084,0.0075,0.0506
Chrom1,2350047,2400047,1200023.5,37013,0.0076,0.0098,0.0107,0.1059
Chrom1,2400048,2450048,1225024,37134,0.011,0.0108,0.0118,0.0384
Chrom1,2450049,2500049,1250024.5,37474,0.0062,0.008,0.008,0.0592
Chrom1,2500050,2550050,1275025,40486,0.0025,0.0063,0.0064,0.1903
Chrom1,2550051,2600051,1300025.5,34245,0.0045,0.0075,0.0071,0.0885
Chrom1,2600052,2650052,1325026,40676,0.0051,0.0074,0.0073,0.0843
Chrom1,2650053,2700053,1350026.5,39536,0.0045,0.0067,0.0068,0.1
Chrom1,2700054,2750054,1375027,37118,0.005,0.0075,0.0085,0.1537
Chrom1,2750055,2800055,1400027.5,39189,0.0071,0.0086,0.0083,0.0302
Chrom1,2800056,2850056,1425028,37790,0.0065,0.0085,0.0084,0.0552
Chrom1,2850057,2900057,1450028.5,32689,0.0069,0.0093,0.0102,0.1192
Chrom1,2900058,2950058,1475029,34490,0.0071,0.0089,0.0092,0.0707
Chrom1,2950059,3000059,1500029.5,35040,0.0075,0.0105,0.0104,0.0749
Chrom1,3000060,3050060,1525030,36439,0.0058,0.0097,0.0094,0.0995
Chrom1,3050061,3100061,1550030.5,36977,0.0052,0.0092,0.0085,0.0884
Chrom1,3100062,3150062,1575031,36574,0.0063,0.0107,0.0108,0.1234
Chrom1,3150063,3200063,1600031.5,37220,0.0065,0.0083,0.0083,0.0581
Chrom1,3200064,3250064,1625032,37735,0.0048,0.0084,0.0078,0.0914
Chrom1,3250065,3300065,1650032.5,30336,0.0079,0.01,0.0101,0.0596
Chrom1,3300066,3350066,1675033,35562,0.0074,0.0088,0.009,0.0544
Chrom1,3350067,3400067,1700033.5,38046,0.0068,0.009,0.0087,0.0507
Chrom1,3400068,3450068,1725034,36248,0.0058,0.0095,0.0096,0.1175
Chrom1,3450069,3500069,1750034.5,37544,0.0068,0.0089,0.0086,0.0496
Chrom1,3500070,3550070,1775035,31636,0.0068,0.0087,0.0087,0.0592
Chrom1,3550071,3600071,1800035.5,33482,0.0074,0.0098,0.0109,0.1228
Chrom1,3600072,3650072,1825036,38023,0.0066,0.0086,0.0088,0.0731
Chrom1,3650073,3700073,1850036.5,36614,0.006,0.008,0.0082,0.0807
Chrom1,3700074,3750074,1875037,36491,0.0055,0.0084,0.0082,0.0859
Chrom1,3750075,3800075,1900037.5,30937,0.006,0.0101,0.0099,0.1064
Chrom1,3800076,3850076,1925038,39605,0.0055,0.0073,0.0078,0.0977
Chrom1,3850077,3900077,1950038.5,39044,0.0061,0.0076,0.0076,0.0539
Chrom1,3900078,3950078,1975039,34765,0.0075,0.0099,0.0099,0.0655
Chrom1,3950079,4000079,2000039.5,36255,0.0071,0.0092,0.009,0.0534
Chrom1,4000080,4050080,2025040,35720,0.0068,0.0092,0.009,0.0617
Chrom1,4050081,4100081,2050040.5,35075,0.0062,0.008,0.0082,0.0692
