CHROM,win_start,win_end,win_mid,mean_Het,Sexo
scaffold_15_ctg1,1,50000,22673,0.00925,Females
scaffold_15_ctg1,50001,100000,75858,0.0085,Females
scaffold_15_ctg1,100001,150000,125658,0.0126,Females
scaffold_15_ctg1,150001,200000,174071,0.01065,Females
scaffold_15_ctg1,200001,250000,221415,0.01215,Females
scaffold_15_ctg1,250001,300000,273375,0.0161,Females
scaffold_15_ctg1,300001,350000,325057,0.0082,Females
scaffold_15_ctg1,350001,400000,375182,0.0077,Females
scaffold_15_ctg1,400001,450000,425118,0.0099,Females
scaffold_15_ctg1,450001,500000,474602,0.00775,Females
scaffold_15_ctg1,500001,550000,524728,0.0093,Females
scaffold_15_ctg1,550001,600000,574432,0.0113,Females
scaffold_15_ctg1,600001,650000,624719,0.0123,Females
scaffold_15_ctg1,650001,700000,675597,0.0129,Females
scaffold_15_ctg1,700001,750000,722809,0.01045,Females
scaffold_15_ctg1,750001,800000,776373,0.01025,Females
scaffold_15_ctg1,800001,850000,824664,0.01295,Females
scaffold_15_ctg1,850001,900000,875164,0.0115,Females
scaffold_15_ctg1,900001,950000,923463,0.0103,Females
scaffold_15_ctg1,950001,1000000,974744,0.00985,Females
scaffold_15_ctg1,1000001,1050000,1024985,0.00685,Females
scaffold_15_ctg1,1050001,1100000,1075274,0.01295,Females
scaffold_15_ctg1,1100001,1150000,1126453,0.0146,Females
scaffold_15_ctg1,1150001,1200000,1174711,0.0129,Females
scaffold_15_ctg1,1200001,1250000,1224323,0.01035,Females
scaffold_15_ctg1,1250001,1300000,1275351,0.0118,Females
scaffold_15_ctg1,1300001,1350000,1324812,0.0119,Females
scaffold_15_ctg1,1350001,1400000,1374794,0.01165,Females
scaffold_15_ctg1,1400001,1450000,1424318,0.00825,Females
scaffold_15_ctg1,1450001,1500000,1476365,0.00955,Females
scaffold_15_ctg1,1500001,1550000,1524211,0.009,Females
scaffold_15_ctg1,1550001,1600000,1574662,0.0078,Females
scaffold_15_ctg1,1600001,1650000,1624193,0.00885,Females
scaffold_15_ctg1,1650001,1700000,1676624,0.01,Females
scaffold_15_ctg1,1700001,1750000,1726734,0.0082,Females
scaffold_15_ctg1,1750001,1800000,1772813,0.0088,Females
scaffold_15_ctg1,1800001,1850000,1825675,0.01535,Females
scaffold_15_ctg1,1850001,1900000,1874461,0.01015,Females
scaffold_15_ctg1,1900001,1950000,1925012,0.01235,Females
scaffold_15_ctg1,1950001,2000000,1974929,0.01395,Females
scaffold_15_ctg1,2000001,2050000,2024074,0.0108,Females
scaffold_15_ctg1,2050001,2100000,2076053,0.0146,Females
scaffold_15_ctg1,2100001,2150000,2125292,0.0125,Females
scaffold_15_ctg1,2150001,2200000,2175184,0.01075,Females
scaffold_15_ctg1,2200001,2250000,2226517,0.01325,Females
